대상물 구분명(참고),대상물명,주소(지번),주소(도로명),주용도명,아파트여부,연면적(㎡),세대수,스프링클러,제연설비,물분무등,관할서,사용승인일,터널여부,등급대상,지상층수,지하층수,자체점검여부
[개황] 서호빌딩,서호빌딩,서울특별시 강남구 개포동 1246,서울특별시 강남구 개포로 209,복합건축물,N,2091.25,,N,N,Y,강남소방서,20040106.0,N,2급대상,6,1,Y
[동별] 서호빌딩,서호빌딩,서울특별시 강남구 개포동 1246,서울특별시 강남구 개포로 209,복합건축물,N,2091.25,,N,N,Y,강남소방서,20040116.0,N,2급대상,6,1,Y
[개황] 세봉빌딩,세봉빌딩,서울특별시 강남구 개포동 1192-5,서울특별시 강남구 논현로8길 5,복합건축물,N,821.98,,N,N,N,강남소방서,20040202.0,N,3급대상,5,1,Y
[동별] 세봉빌딩,세봉빌딩,서울특별시 강남구 개포동 1192-5,서울특별시 강남구 논현로8길 5,복합건축물,N,821.98,,N,N,N,강남소방서,20040202.0,N,3급대상,5,1,Y
[개황] 썬테크빌딩,썬테크빌딩,서울특별시 강남구 개포동 1193,서울특별시 강남구 논현로 34,복합건축물,N,2675.94,,Y,N,N,강남소방서,20040228.0,N,2급대상,6,2,Y
[동별] 썬테크빌딩,썬테크빌딩,서울특별시 강남구 개포동 1193,서울특별시 강남구 논현로 34,복합건축물,N,2675.94,,Y,N,N,강남소방서,20040228.0,N,2급대상,6,2,Y
[개황] 리치타운아파트,리치타운아파트,서울특별시 강남구 개포동 1204-5,서울특별시 강남구 개포로28길 28,공동주택,Y,1230.49,12.0,N,N,N,강남소방서,20040428.0,N,3급대상,6,1,Y
[동별] 리치타운아파트,리치타운,서울특별시 강남구 개포동 1204-5,서울특별시 강남구 개포로28길 28,공동주택,Y,1230.49,12.0,N,N,N,강남소방서,20040428.0,N,3급대상,6,1,Y
[개황] 정빌딩,정빌딩,서울특별시 강남구 개포동 1218-30,서울특별시 강남구 개포로22길 5,복합건축물,N,1566.96,,N,N,N,강남소방서,20040507.0,N,2급대상,6,2,Y
[동별] 정빌딩,정빌딩,서울특별시 강남구 개포동 1218-30,서울특별시 강남구 개포로22길 5,복합건축물,N,1566.96,,N,N,N,강남소방서,20040507.0,N,2급대상,6,2,Y
[개황] 개포자이아파트,개포자이아파트,서울특별시 강남구 개포동 12-2,서울특별시 강남구 개포로109길 69,공동주택,Y,60358.78,212.0,Y,N,N,강남소방서,20040617.0,N,2급대상,22,2,Y
[동별] 개포자이아파트,LG개포자이아파트 101동,서울특별시 강남구 개포동 12-2,서울특별시 강남구 개포로109길 69,공동주택,Y,22831.83,63.0,Y,N,N,강남소방서,20040617.0,N,2급대상,22,2,Y
[동별] 개포자이아파트,상가동,서울특별시 강남구 개포동 12-2,서울특별시 강남구 개포로109길 69,공동주택,Y,159.2,0.0,N,N,N,강남소방서,20040617.0,N,2급대상,1,0,Y
[동별] 개포자이아파트,LG개포자이아파트 102동,서울특별시 강남구 개포동 12-2,서울특별시 강남구 개포로109길 69,공동주택,Y,23231.84,65.0,N,N,N,강남소방서,20040617.0,N,2급대상,22,2,Y
[동별] 개포자이아파트,LG개포자이아파트 103동,서울특별시 강남구 개포동 12-2,서울특별시 강남구 개포로109길 69,공동주택,Y,7347.76,43.0,N,N,N,강남소방서,20040617.0,N,2급대상,22,2,Y
[동별] 개포자이아파트,LG개포자이아파트 104동,서울특별시 강남구 개포동 12-2,서울특별시 강남구 개포로109길 69,공동주택,Y,6788.15,41.0,N,N,N,강남소방서,20040617.0,N,2급대상,21,2,Y
[개황] 구룡역(분당선),구룡역(분당선),서울특별시 강남구 개포동 175,서울특별시 강남구 개포로 403,운수시설,N,12203.18,0.0,Y,Y,Y,강남소방서,20030823.0,N,2급대상,0,6,Y
[동별] 구룡역(분당선),구룡역,서울특별시 강남구 개포동 175,서울특별시 강남구 개포로 403,운수시설,N,12203.18,0.0,Y,Y,Y,강남소방서,20040601.0,N,2급대상,0,6,Y
[개황] 씨티셀즈빌딩,씨티셀즈빌딩,서울특별시 강남구 개포동 1238-7,서울특별시 강남구 개포로 216,복합건축물,N,1678.23,,N,N,N,강남소방서,20040624.0,N,2급대상,7,2,Y
[동별] 씨티셀즈빌딩,보광빌딩,서울특별시 강남구 개포동 1238-7,서울특별시 강남구 개포로 216,복합건축물,N,1678.23,,N,N,N,강남소방서,20040624.0,N,2급대상,7,2,Y
[개황] 와세다,와세다,서울특별시 강남구 개포동 1192,서울특별시 강남구 논현로 30,근린생활시설,N,735.16,0.0,N,N,N,강남소방서,20040702.0,N,3급대상,5,1,Y
[동별] 와세다,와세다빌딩,서울특별시 강남구 개포동 1192,서울특별시 강남구 논현로 30,근린생활시설,N,735.16,0.0,N,N,N,강남소방서,20040702.0,N,3급대상,5,1,Y
[개황] KSD노엘빌딩,KSD노엘빌딩,서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로 88,복합건축물,N,1724.11,,Y,N,N,강남소방서,20040818.0,N,2급대상,7,2,Y
[동별] KSD노엘빌딩,성은실버케어스건물(KSD노엘빌딩),서울특별시 강남구 개포동 1229-1,서울특별시 강남구 논현로 88,복합건축물,N,1724.11,,Y,N,N,강남소방서,20040818.0,N,2급대상,7,2,Y
[개황] 두로빌딩,두로빌딩,서울특별시 강남구 개포동 1218-20,서울특별시 강남구 개포로22길 27,복합건축물,N,735.22,,N,N,N,강남소방서,20041013.0,N,3급대상,4,1,Y
[동별] 두로빌딩,두루빌딩,서울특별시 강남구 개포동 1218-20,서울특별시 강남구 개포로22길 27,복합건축물,N,735.22,,N,N,N,강남소방서,20041013.0,N,3급대상,4,1,Y
